name,email,role,religion,gender,grade,class
Madelle Dreger,mdreger0@xing.com,teacher,Christianity,Female,12,A
Wilfrid Lamden,wlamden1@thetimes.co.uk,student,Christianity,Male,1,D
Karee Shearsby,kshearsby2@eepurl.com,parent,Christianity,Female,3,C
Gennifer Janauschek,gjanauschek3@scientificamerican.com,teacher,Christianity,Non-binary,12,A
Karissa Ladel,kladel4@1und1.de,student,Christianity,Female,9,C
Hewett D'Alesco,hdalesco5@yolasite.com,teacher,Christianity,Male,5,D
Filmore Glowacki,fglowacki6@pcworld.com,teacher,Islamic,Male,10,B
Estell Roser,eroser7@cam.ac.uk,teacher,Islamic,Female,12,A
Tymon Patrone,tpatrone8@dagondesign.com,parent,Christianity,Male,4,A
Dolph Creak,dcreak9@lulu.com,school_admin,Christianity,Genderfluid,5,D
